Time	Node	Type	Packets	
8	86	CacheHits	232
8	86	CacheMisses	267
8	87	CacheHits	337
8	87	CacheMisses	263
8	88	CacheHits	491
8	88	CacheMisses	265
8	89	CacheHits	299
8	89	CacheMisses	264
8	90	CacheHits	246
8	90	CacheMisses	266
8	91	CacheHits	283
8	91	CacheMisses	262
8	92	CacheHits	245
8	92	CacheMisses	268
8	93	CacheHits	210
8	93	CacheMisses	265
8	94	CacheHits	189
8	94	CacheMisses	264
8	95	CacheHits	260
8	95	CacheMisses	264
8	96	CacheHits	240
8	96	CacheMisses	262
8	97	CacheHits	686
8	97	CacheMisses	264
8	98	CacheHits	357
8	98	CacheMisses	261
8	99	CacheHits	500
8	99	CacheMisses	266
9	50	CacheHits	339
9	50	CacheMisses	268
9	51	CacheHits	288
9	51	CacheMisses	273
9	52	CacheHits	406
9	52	CacheMisses	266
9	53	CacheHits	387
9	53	CacheMisses	269
9	54	CacheHits	345
9	54	CacheMisses	269
9	55	CacheHits	300
9	55	CacheMisses	267
9	56	CacheHits	214
9	56	CacheMisses	272
9	57	CacheHits	177
9	57	CacheMisses	271
9	58	CacheHits	265
9	58	CacheMisses	270
9	59	CacheHits	144
9	59	CacheMisses	271
9	60	CacheHits	252
9	60	CacheMisses	267
9	61	CacheHits	337
9	61	CacheMisses	269
9	62	CacheHits	352
9	62	CacheMisses	269
9	63	CacheHits	384
9	63	CacheMisses	272
9	64	CacheHits	411
9	64	CacheMisses	269
9	65	CacheHits	467
9	65	CacheMisses	267
9	66	CacheHits	314
9	66	CacheMisses	266
9	67	CacheHits	236
9	67	CacheMisses	266
9	68	CacheHits	383
9	68	CacheMisses	266
9	69	CacheHits	261
9	69	CacheMisses	267
9	70	CacheHits	445
9	70	CacheMisses	269
9	71	CacheHits	229
9	71	CacheMisses	268
9	72	CacheHits	409
9	72	CacheMisses	269
9	73	CacheHits	373
9	73	CacheMisses	269
9	74	CacheHits	298
9	74	CacheMisses	271
9	75	CacheHits	188
9	75	CacheMisses	271
9	76	CacheHits	158
9	76	CacheMisses	273
9	77	CacheHits	234
9	77	CacheMisses	267
9	78	CacheHits	264
9	78	CacheMisses	270
9	79	CacheHits	222
9	79	CacheMisses	269
9	80	CacheHits	459
9	80	CacheMisses	264
9	81	CacheHits	157
9	81	CacheMisses	271
9	82	CacheHits	481
9	82	CacheMisses	265
9	83	CacheHits	404
9	83	CacheMisses	267
9	84	CacheHits	361
9	84	CacheMisses	271
9	85	CacheHits	469
9	85	CacheMisses	269
9	86	CacheHits	299
9	86	CacheMisses	269
9	87	CacheHits	327
9	87	CacheMisses	270
9	88	CacheHits	502
9	88	CacheMisses	264
9	89	CacheHits	285
9	89	CacheMisses	267
9	90	CacheHits	238
9	90	CacheMisses	270
9	91	CacheHits	254
9	91	CacheMisses	270
9	92	CacheHits	227
